	dev_accuracy	dev_f1	dev_precision	dev_recall
0	0.8154667721518988	0.6842866229667183	0.6367901437521688	0.7700095439019488
1	0.8253560126582279	0.7132636494747173	0.6295830136811142	0.873387126235227
2	0.7994462025316456	0.7227869161137134	0.6423530056441452	0.868157844265439
3	0.8469145569620253	0.7014122893061443	0.7059950773558366	0.7358567592744802
4	0.8427610759493671	0.7326374302914448	0.6649325709452287	0.8569444444444442
5	0.8273338607594937	0.6106642164187136	0.6750095895665514	0.5971955084296854
6	0.8277294303797469	0.6718243232885434	0.6815802692384971	0.7147368805596651
7	0.841376582278481	0.7058448450213914	0.6812402962719416	0.7778467313277435
8	0.8259493670886076	0.6632251703111323	0.6678639925475366	0.7038276069921637
9	0.8214003164556962	0.6308278560605439	0.6592801888687964	0.6559021498894915
10	0.8269382911392406	0.6279124159272682	0.6707563884779074	0.6339315396277422
11	0.8176424050632911	0.6262777695251743	0.6460170104157444	0.6522240944709293
12	0.821993670886076	0.6960796099630009	0.6317293641660731	0.8172155551902385
13	0.8239715189873418	0.6771703351948876	0.6627997881162436	0.7401270845891096
14	0.8287183544303798	0.6759125212244703	0.6640837537989436	0.7419666831059234
