	dev_accuracy	dev_f1	dev_precision	dev_recall
0	0.7960838607594937	0.622471899010579	0.6283353425758486	0.6602320675105486
1	0.8314873417721519	0.7053905050960936	0.6526631596251845	0.8161794253566402
2	0.8170490506329114	0.7171134535323116	0.6810131148738741	0.8042047439199339
3	0.8130933544303798	0.7041453489968204	0.6968011418960787	0.7583974921000236
4	0.8360363924050633	0.6943219265004739	0.6770473724587643	0.7551411492867185
5	0.8346518987341772	0.7120635962579567	0.6300998228213417	0.860284810126582
6	0.8188291139240507	0.643296334053966	0.7127310628892904	0.625396825396825
7	0.8184335443037974	0.6978187080736361	0.6132537118296608	0.8531791696348653
8	0.8275316455696202	0.7053492187055107	0.6524291285367232	0.8096966500447511
9	0.8073575949367089	0.6523334744074838	0.6529426269932598	0.7053740387601146
