	dev_accuracy	dev_f1	dev_precision	dev_recall
0	0.8227848101265823	0.6653485072881942	0.6382892424031664	0.7431153761849963
1	0.8293117088607594	0.6554743004575468	0.682072533654812	0.6823739200321476
2	0.8285205696202531	0.6499538158931893	0.6822408077154911	0.6728460006941016
3	0.819620253164557	0.6663852707602952	0.6744659524722814	0.6929445905711726
4	0.8192246835443038	0.5931918210026924	0.6867314647377936	0.5670221655981149
5	0.8176424050632911	0.673931101001779	0.6007052370976422	0.8282166146090196
6	0.8069620253164557	0.5906967326173147	0.6762884267631102	0.5663828611613421
7	0.8283227848101266	0.6882053030008312	0.666690183937019	0.7531611321168281
8	0.8115110759493671	0.650901879490663	0.6658259988956191	0.6777793760388697
9	0.8277294303797469	0.6512668869690661	0.6477848101265822	0.7044340329150451
