	precision	recall	f1-score	support
0	0.692485549132948	0.7295980511571255	0.7105575326215896	821.0
1	0.6976950354609929	0.6434995911692559	0.6695023394300298	1223.0
2	0.9178759894459103	0.933579335793358	0.9256610676866788	2981.0
accuracy	0.8296517412935324	0.8296517412935324	0.8296517412935324	0.8296517412935324
macro avg	0.7693521913466169	0.7688923260399131	0.7685736465794327	5025.0
weighted avg	0.8274626843274037	0.8296517412935324	0.8281720871998488	5025.0
