	dev_accuracy	dev_f1	dev_precision	dev_recall
0	0.7318037974683544	0.0	0.0	0.0
1	0.8293117088607594	0.7092154355813874	0.6451354376987283	0.8373844685553543
2	0.8340585443037974	0.7068557437541841	0.6509749392660783	0.8224633313240908
3	0.8346518987341772	0.7201463009325968	0.6812912123038702	0.8060249876705567
4	0.8360363924050633	0.7121524463179045	0.6492330103089593	0.8380147981413801
5	0.8336629746835443	0.699309727874508	0.6575049774416861	0.8051448200182376
6	0.8336629746835443	0.7005134877989249	0.6432277111074578	0.823405848722304
7	0.8144778481012658	0.5968897269838799	0.7049000401848502	0.560989414945111
8	0.8223892405063291	0.6537850035709302	0.6590208139258771	0.6952648090306313
9	0.819620253164557	0.5888151467544616	0.7110106489853323	0.5490446965130509
