	precision	recall	f1-score	support
0	0.6727716727716728	0.6711327649208283	0.6719512195121952	821.0
1	0.7116324535679375	0.5952575633687653	0.6482635796972396	1223.0
2	0.8969525604775369	0.9577323045957732	0.9263465282284231	2981.0
accuracy	0.8226865671641791	0.8226865671641791	0.8226865671641791	0.8226865671641791
macro avg	0.7604522289390491	0.7413742109617889	0.7488537758126194	5025.0
weighted avg	0.8152214162870983	0.8226865671641791	0.8171019522066001	5025.0
